name,operator,went_live_date,went_live_date_precision,went_live_source_url,went_live_source_title,went_live_source_notes
QTS Chicago 1 DC1,QTS Data Centers,2016-07-01,day,https://www.prnewswire.com/news-releases/qts-chicago-mega-data-center-to-open-july-1-300291235.html,QTS Chicago Mega Data Center to Open July 1,"PRNewswire release states the new Chicago facility will open July 1, 2016."
CoreSite Chicago (CH2),CoreSite,2020-06-01,month,https://www.coresite.com/news/media-advisory-coresite-celebrates-its-expanded-chicago-data-center-footprint-enabling-digital-transformation-in-a-rising-internet-hub,CoreSite media advisory (Nov 10 2022),"CoreSite states CH2 opened in June 2020; exact day not provided."
GDC - Chicago CH1 Data Center,"NTT DATA, Inc.",2021-03-01,day,https://www.prnewswire.com/news-releases/hed-celebrates-opening-of-ntts-ch1-data-center-301236606.html,HED Celebrates Opening of NTT's CH1 Data Center,"PRNewswire release dated Mar 1, 2021 states opening of NTT CH1 in Itasca."
Equinix CH3,Equinix,2007-10-24,day,https://www.datacenterknowledge.com/hyperscalers/equinix-opens-175m-chicago-data-center,Equinix Opens $175M Chicago Data Center,"Article states Equinix held grand opening for CH3 on Oct 24, 2007."
Stream DC Chicago I,Stream Data Centers,2020-08-12,day,https://www.jsa.net/stream-data-centers-our-chicago-data-center-is-open/,Stream Data Centers: Our Chicago Data Center is Open!,"JSA post dated Aug 12, 2020 says Chicago facility is open for business and first phase fully commissioned."
Equinix CH2,Equinix,2009-07-15,day,https://equinix.mediaroom.com/2009-07-15-Equinix-Expands-in-Downtown-Chicago-with-Launch,Equinix expands in downtown Chicago with CH2 expansion opening,"Equinix states it opened the previously announced expansion of CH2 on Jul 15, 2009."
Stream DC Chicago II,Stream Data Centers,2022-07-01,month,https://www.streamdatacenters.com/locations/chicago-data-centers/,Stream Chicago data centers (operator page),"Stream states Chicago II (ORDB, 1925 Busse Road) initiated phase one commissioning in 3Q22. Month precision uses the start of that quarter."
GDC - Chicago CH2 Data Center,"NTT DATA, Inc.",2023-01-01,year,https://www.itasca.com/2279/NTT,Village of Itasca NTT campus page,"Municipal development page states NTT CH2 followed in 2023. Year precision only; do not overwrite NTT CH1 (operator PR 2021-03-01)."
2200 Busse Road (CH1),Digital Realty,2008-08-01,day,https://www.datacenterknowledge.com/investing/dupont-fabros-reports-slower-leasing,DuPont Fabros Reports Slower Leasing,"DCK (Aug 8, 2008) quoting DFT: Chicago Elk Grove data center opened August 1. That facility is today's Digital Realty CH1 at 2200 Busse Road."
2299 Busse Road (CH2),Digital Realty,2015-07-17,day,https://www.datacenterknowledge.com/build-design/dupont-fabros-launches-second-chicago-data-center,DuPont Fabros Launches Second Chicago Data Center,"DCK (Jul 17, 2015) quoting DFT: the company announced it opened CH2 (2299 Busse, across from CH1) that week."
Aligned ORD-01,Aligned Data Centers,2022-04-19,day,https://aligneddc.com/press-release/aligned-launches-chicago-hyperscale-data-center-campus-and-breaks-ground-on-second-adjacent-facility/,Aligned launches Chicago hyperscale data center campus,"Aligned PR dated Apr 19, 2022 announces first-phase completion of ORD-01 in Northlake. CEO quoted in DCD (Apr 20, 2022) as bringing the hyperscale data center online that day."
Serverfarm Chicago Data Center CH1,Serverfarm,2013-06-13,day,https://www.datacenterknowledge.com/servers/server-farm-realty-opens-chicago-building,Server Farm Realty Opens Chicago Building,"DCK (Jun 13, 2013) states Server Farm Realty opened 840 South Canal that week; ribbon cutting with SFR CEO. Same address as the CSV Serverfarm CH1 row."
Skybox Chicago I,Skybox Datacenters,2022-04-28,day,https://www.linkedin.com/posts/skybox-datacenters_chicago-grandopening-datacenter-activity-6914576115512557568-qd4J,Skybox Chicago I grand opening (operator post),"Skybox company post announces the Elk Grove grand opening on Apr 28, 2022. Data Center Frontier contemporaneously reported Skybox/Prologis had just opened the 30 MW / 189k SF project."
