name,operator,city,state,full_address,suggested_query_1,suggested_query_2,suggested_query_3
Data CentersUSAIllinoisChicago,Chicago Data Centers,"To find other data center locations and colocation, cloud or connectivity providers in Illinois, please click here.",IL,"Below you will find locations of 183 data centers in Chicago, Illinois., To find other data center locations and colocation, cloud or connectivity providers in Illinois, please click here., IL, USA","""Data CentersUSAIllinoisChicago"" ""Chicago Data Centers"" ""opening""","""Data CentersUSAIllinoisChicago"" ""To find other data center locations and colocation, cloud or connectivity providers in Illinois, please click here."" ""data center"" ""announced""","""Chicago Data Centers"" ""To find other data center locations and colocation, cloud or connectivity providers in Illinois, please click here."" ""facility"" ""commissioned"""
Digital Realty,Digital Realty brings companies and data together in bold new ways in Illinois,Digital Realty,IL,"350 East Cermak Road (ORD10), Digital Realty, IL, USA","""Digital Realty"" ""Digital Realty brings companies and data together in bold new ways in Illinois"" ""opening""","""Digital Realty"" ""Digital Realty"" ""data center"" ""announced""","""Digital Realty brings companies and data together in bold new ways in Illinois"" ""Digital Realty"" ""facility"" ""commissioned"""
600 S. Federal St. (ORD11),Digital Realty,Chicago,IL,"600 South Federal Street, Chicago, IL, 60605, USA","""600 S. Federal St. (ORD11)"" ""Digital Realty"" ""opening""","""600 S. Federal St. (ORD11)"" ""Chicago"" ""data center"" ""announced""","""Digital Realty"" ""Chicago"" ""facility"" ""commissioned"""
505 N. Railroad Avenue (ORD23),Digital Realty,Northlake,IL,"505 North Railroad Avenue, Northlake, IL, 60164, USA","""505 N. Railroad Avenue (ORD23)"" ""Digital Realty"" ""opening""","""505 N. Railroad Avenue (ORD23)"" ""Northlake"" ""data center"" ""announced""","""Digital Realty"" ""Northlake"" ""facility"" ""commissioned"""
2200 Busse Road (CH1),Digital Realty,Elk Grove Village,IL,"2200 Busse Road, Elk Grove Village, IL, 60007, USA","""2200 Busse Road (CH1)"" ""Digital Realty"" ""opening""","""2200 Busse Road (CH1)"" ""Elk Grove Village"" ""data center"" ""announced""","""Digital Realty"" ""Elk Grove Village"" ""facility"" ""commissioned"""
9333 Grand Avenue (ORD12),Digital Realty,Franklin Park,IL,"9333 Grand Ave, Franklin Park, IL, 60131, USA","""9333 Grand Avenue (ORD12)"" ""Digital Realty"" ""opening""","""9333 Grand Avenue (ORD12)"" ""Franklin Park"" ""data center"" ""announced""","""Digital Realty"" ""Franklin Park"" ""facility"" ""commissioned"""
9355 Grand Ave (ORD13),Digital Realty,Franklin Park,IL,"9355 Grand Ave, Franklin Park, IL, 60131, USA","""9355 Grand Ave (ORD13)"" ""Digital Realty"" ""opening""","""9355 Grand Ave (ORD13)"" ""Franklin Park"" ""data center"" ""announced""","""Digital Realty"" ""Franklin Park"" ""facility"" ""commissioned"""
9377 Grand Ave (ORD14),Digital Realty,Franklin Park,IL,"9377 Grand Ave, Franklin Park, IL, 60131, USA","""9377 Grand Ave (ORD14)"" ""Digital Realty"" ""opening""","""9377 Grand Ave (ORD14)"" ""Franklin Park"" ""data center"" ""announced""","""Digital Realty"" ""Franklin Park"" ""facility"" ""commissioned"""
1400 East Devon Avenue (CH3),Digital Realty,Elk Grove Village,IL,"1400 East Devon Avenue, Elk Grove Village, IL, 60007, USA","""1400 East Devon Avenue (CH3)"" ""Digital Realty"" ""opening""","""1400 East Devon Avenue (CH3)"" ""Elk Grove Village"" ""data center"" ""announced""","""Digital Realty"" ""Elk Grove Village"" ""facility"" ""commissioned"""
2425-2553 Edgington Street (ORD22),Digital Realty,Franklin Park,IL,"2425-2553 Edgington St, Franklin Park, IL, 60131, USA","""2425-2553 Edgington Street (ORD22)"" ""Digital Realty"" ""opening""","""2425-2553 Edgington Street (ORD22)"" ""Franklin Park"" ""data center"" ""announced""","""Digital Realty"" ""Franklin Park"" ""facility"" ""commissioned"""
